iter	Passed	Remaining
0	0	73
1	1	66
2	1	64
3	2	60
4	3	58
5	3	57
6	4	55
7	4	55
8	5	54
9	5	53
10	6	52
11	7	51
12	7	50
13	8	49
14	8	49
15	9	48
16	9	47
17	10	48
18	11	48
19	12	48
20	12	48
21	13	48
22	14	47
23	15	47
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	24	39
38	25	39
39	25	38
40	26	38
41	26	37
42	27	36
43	28	35
44	29	35
45	29	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	37	29
56	38	28
57	38	28
58	39	27
59	40	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	23
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	61	9
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	66	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	72	0
99	72	0
